Halal,NAME,BSE-ID,NSECode,Industry,More
no,AGRI- TECH (INDIA) LTD,AGRITECH,AGRITECH,Miscellaneous,More
yes,Agrimony Commodities Ltd,AGRIMONY,,Trading & Distributors,More
no,AGRO PHOS INDIA,,AGROPHOS,Fertilizers,More
yes,AGRO TECH FOODS LTD.,ATFL,ATFL,Solvent Extraction,More
no,AGS Transact Technologies Ltd,AGSTRA,AGSTRA,Misc.Commercial Services,More
yes,AHLADA ENGINEERS,AHLADA,AHLADA,Steel - Medium / Small,More
yes,AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUCONT,AHLUCONT,Construction,More
no,AHMEDABAD STEELCRAFT LTD.,AHMDSTE,,Steel - Medium / Small,More
yes,AI CHAMPDANY INDUSTRIES LTD.,AICHAMP,,Textiles - Jute - Yarn / Products,More
yes,AIA ENGINEERING LTD.,AIAENG,AIAENG,Castings & Forgings,More
yes,Aik Pipes & Polymers Ltd,AIKPIPES,,Plastic Products - Industrial,More
yes,AIMCO PESTICIDES LTD.,AIMCOPEST,,Pesticides / Agrochemicals - Indian,More
yes,AIRAN,,AIRAN,Computers - Software - Medium / Small,More
no,AIRO LAM,,AIROLAM,Miscellaneous,More
yes,AISHWARYA TECHNOLOGIES AND TELECOM LTD,AISHWARYA,,Telecommunications - Equipment,More
yes,AJANTA PHARMA LTD.,AJANTPHARM,AJANTPHARM,Pharmaceuticals - Indian - Formulations,More
yes,AJANTA SOYA LTD.,AJANTSOY,,Miscellaneous,More
no,AJCON GLOBAL SERVICES LTD.,AJCON,,Finance & Investments,More
no,AJEL LTD.,AJEL,,Computers - Software - Converts,More
no,AJMERA REALTY & INFRA INDIA LTD.,AJMERA,AJMERA,Construction,More
yes,AJOONI BIOTECH,,AJOONI,Miscellaneous,More
no,AJR INFRA AND TOLLING LTD,AJRINFRA,,Engineering - Turnkey Services,More
no,AJWA FUN WORLD & RESORT LTD.,AJWAFUN,,Recreation / Amusement Parks,More
yes,Akanksha Power & Infrastructure Ltd,,AKANKSHA,Other Electrical Equipment,More
no,AKAR AUTO INDUSTRIES LTD,AAIL,,Castings & Forgings,More
no,AKASH INFRAPROJ.,,AKASH,Construction,More
no,AKASHDEEP METAL INDUSTRIES LTD,AKASHDEEP,,Finance & Investments,More
yes,AKG EXIM,,AKG,Trading,More
yes,AKI INDIA LTD,AKI,AKI,Leather / Leather Products,More
no,AKSH OPTIFIBRE LTD.,AKSHOPTFBR,AKSHOPTFBR,Cables - Telephone,More
yes,AKSHAR SPINTEX LTD,AKSHAR,AKSHAR,Textiles - Cotton/Blended,More
yes,AKSHARCHEM (INDIA) LTD.,AKSCHEM,AKSHARCHEM,Dyes And Pigments,More
yes,AKZO NOBEL INDIA LIMITED,AKZOINDIA,AKZOINDIA,Paints / Varnishes,More
no,ALAN SCOTT INDUSTRIES LTD,ALAN SCOTT,,Textiles - Products,More
no,ALANKIT LTD,ALANKIT,ALANKIT,Computers - Software - Medium / Small,More
yes,ALBERT DAVID LTD.,ALBERTDA,ALBERTDAVD,Pharmaceuticals - Indian - Formulations,More
yes,Alchemist Corporation Ltd,ALCHCORP,,Commodity Chemicals,More
no,ALCHEMIST LTD.,ALCHEM,,Diversified - Medium / Small,More
